STATIONID,Latitude,Longitude,LAKEID,County,Lake,Station,Study,water type
Ala-IronwoodB-2,29.6893,-82.2897,Ala-IronwoodB,Alachua,Ironwood B,2,LW,Lake
Ala-IronwoodC-1,29.6905,-82.2893,Ala-IronwoodC,Alachua,Ironwood C,1,LW,Lake
Ala-IronwoodC-2,29.6907,-82.2892,Ala-IronwoodC,Alachua,Ironwood C,2,LW,Lake
Ala-IronwoodD-1,29.6908,-82.2891,Ala-IronwoodD,Alachua,Ironwood D,1,LW,Lake
Ala-IronwoodD-2,29.691,-82.2891,Ala-IronwoodD,Alachua,Ironwood D,2,LW,Lake
Ala-IronwoodE-1,29.6869,-82.2897,Ala-IronwoodE,Alachua,Ironwood E,1,LW,Lake
Ala-IronwoodE-2,29.6869,-82.2894,Ala-IronwoodE,Alachua,Ironwood E,2,LW,Lake
Ala-IronwoodF-1,29.6889,-82.3006,Ala-IronwoodF,Alachua,Ironwood F,1,LW,Lake
Ala-IronwoodF-2,29.6889,-82.3003,Ala-IronwoodF,Alachua,Ironwood F,2,LW,Lake
Ala-IronwoodG-1,29.6905,-82.3009,Ala-IronwoodG,Alachua,Ironwood G,1,LW,Lake
Ala-IronwoodG-2,29.6905,-82.3004,Ala-IronwoodG,Alachua,Ironwood G,2,LW,Lake
Ala-IronwoodH-1,29.6909,-82.2912,Ala-IronwoodH,Alachua,Ironwood H,1,LW,Lake
Ala-IronwoodH-2,29.6911,-82.2912,Ala-IronwoodH,Alachua,Ironwood H,2,LW,Lake
Ala-Jeffords-1,29.5489,-82.0953,Ala-Jeffords,Alachua,Jeffords,1,LW,Lake
Ala-Jeffords-2,29.5467,-82.0892,Ala-Jeffords,Alachua,Jeffords,2,LW,Lake
Ala-Jeffords-3,29.5498,-82.0888,Ala-Jeffords,Alachua,Jeffords,3,LW,Lake
Ala-JohnsonP-1,29.7234,-82.3485,Ala-JohnsonP,Alachua,Johnson Pond,1,LW,Lake
Ala-JohnsonP-2,29.7219,-82.3483,Ala-JohnsonP,Alachua,Johnson Pond,2,LW,Lake
Ala-JohnsonP-3,29.7204,-82.3478,Ala-JohnsonP,Alachua,Johnson Pond,3,LW,Lake
Ala-JonesvilleQu-1,29.6821,-82.5332,Ala-JonesvilleQu,Alachua,Jonesville Quarry,1,LW,Lake
Ala-JonesvilleQu-2,29.682,-82.5338,Ala-JonesvilleQu,Alachua,Jonesville Quarry,2,LW,Lake
Ala-JonesvilleQu-3,29.6821,-82.5343,Ala-JonesvilleQu,Alachua,Jonesville Quarry,3,LW,Lake
Ala-Kingswood-1,29.6692,-82.4005,Ala-Kingswood,Alachua,Kingswood,1,LW,Lake
Ala-Kingswood-2,29.6691,-82.4,Ala-Kingswood,Alachua,Kingswood,2,LW,Lake
Ala-Kingswood-3,29.6688,-82.3994,Ala-Kingswood,Alachua,Kingswood,3,LW,Lake
Ala-LakesPD-1,29.698,-82.3594,Ala-LakesPD,Alachua,Lakes Pond,1,LW,Lake
Ala-LakesPD-2,29.6984,-82.3585,Ala-LakesPD,Alachua,Lakes Pond,2,LW,Lake
Ala-LakesPD-3,29.6983,-82.3576,Ala-LakesPD,Alachua,Lakes Pond,3,LW,Lake
Ala-LittleOr-1,29.5776,-82.0632,Ala-LittleOr,Alachua,Little Orange,1,LW,Lake
Ala-LittleOr-2,29.5772,-82.0569,Ala-LittleOr,Alachua,Little Orange,2,LW,Lake
Ala-LittleOr-3,29.5708,-82.0483,Ala-LittleOr,Alachua,Little Orange,3,LW,Lake
Ala-LittleSa-1,29.7664,-82.0907,Ala-LittleSa,Alachua,Little Santa Fe,1,LW,Lake
Ala-LittleSa-2,29.7708,-82.0927,Ala-LittleSa,Alachua,Little Santa Fe,2,LW,Lake
Ala-LittleSa-3,29.7755,-82.0961,Ala-LittleSa,Alachua,Little Santa Fe,3,LW,Lake
Ala-Lochloosa-1,29.5288,-82.1267,Ala-Lochloosa,Alachua,Lochloosa,1,LW,Lake
Ala-Lochloosa-2,29.5174,-82.1229,Ala-Lochloosa,Alachua,Lochloosa,2,LW,Lake
Ala-Lochloosa-3,29.5064,-82.12,Ala-Lochloosa,Alachua,Lochloosa,3,LW,Lake
Ala-Lochloosa-4,29.5018,-82.1511,Ala-Lochloosa,Alachua,Lochloosa,4,LW,Lake
Ala-Ma-Springs,29.5832,-82.1497,Ala-Ma-Springs,Alachua,Magnesia Springs,1,LW,Spring Boil
Ala-MelroseB-1,29.7139,-82.0521,Ala-MelroseB,Alachua,Melrose Bay,1,LW,Lake
Ala-MelroseB-2,29.7161,-82.0531,Ala-MelroseB,Alachua,Melrose Bay,2,LW,Lake
Ala-MelroseB-3,29.7164,-82.0572,Ala-MelroseB,Alachua,Melrose Bay,3,LW,Lake
Ala-Meta-1,29.6701,-82.3366,Ala-Meta,Alachua,Meta,1,LW,Lake
Ala-Meta-2,29.6696,-82.3362,Ala-Meta,Alachua,Meta,2,LW,Lake
Ala-Meta-3,29.6691,-82.3359,Ala-Meta,Alachua,Meta,3,LW,Lake
Ala-Mize-1,29.7328,-82.2197,Ala-Mize,Alachua,Mize,1,LW,Lake
Ala-Mize-2,29.7328,-82.22,Ala-Mize,Alachua,Mize,2,LW,Lake
Ala-Mize-3,29.7331,-82.2196,Ala-Mize,Alachua,Mize,3,LW,Lake
Ala-Mize-1 me-1,29.7328,-82.2197,Ala-Mize-1 me,Alachua,Mize-1 meter,1,LW,Special
Ala-Mize-15 m-1,29.7328,-82.2197,Ala-Mize-15 m,Alachua,Mize-15 meters,1,LW,Special
Ala-Mize-16 m-1,29.7328,-82.2197,Ala-Mize-16 m,Alachua,Mize-16 meters,1,LW,Special
Ala-Mize-18 m-1,29.7328,-82.2197,Ala-Mize-18 m,Alachua,Mize-18 meters,1,LW,Special
Ala-Mize-21 m-1,29.7328,-82.2197,Ala-Mize-21 m,Alachua,Mize-21 meters,1,LW,Special
Ala-Mize-22 m-1,29.7328,-82.2197,Ala-Mize-22 m,Alachua,Mize-22 meters,1,LW,Special
Ala-Mize-23 m-1,29.7328,-82.2197,Ala-Mize-23 m,Alachua,Mize-23 meters,1,LW,Special
Ala-Mize-24 m-1,29.7328,-82.2197,Ala-Mize-24 m,Alachua,Mize-24 meters,1,LW,Special
Ala-Mize-3 me-1,29.7328,-82.2197,Ala-Mize-3 me,Alachua,Mize-3 meters,1,LW,Special
Ala-Mize-4 me-1,29.7328,-82.2197,Ala-Mize-4 me,Alachua,Mize-4 meters,1,LW,Special
Ala-Moon-1,29.6804,-82.4063,Ala-Moon,Alachua,Moon,1,LW,Lake
Ala-Moon-2,29.6803,-82.4053,Ala-Moon,Alachua,Moon,2,LW,Lake
Ala-Moon-3,29.6808,-82.4047,Ala-Moon,Alachua,Moon,3,LW,Lake
Ala-Moss-1,29.5597,-82.0566,Ala-Moss,Alachua,Moss,1,LW,Lake
Ala-Moss-2,29.5597,-82.0553,Ala-Moss,Alachua,Moss,2,LW,Lake
Ala-Moss-3,29.5598,-82.0528,Ala-Moss,Alachua,Moss,3,LW,Lake
Ala-Newnan-1,29.6206,-82.2373,Ala-Newnan,Alachua,Newnan,1,LW,Lake
Ala-Newnan-2,29.6322,-82.2223,Ala-Newnan,Alachua,Newnan,2,LW,Lake
Ala-Newnan-3,29.6511,-82.2162,Ala-Newnan,Alachua,Newnan,3,LW,Lake
Ala-Orange-1,29.4865,-82.1946,Ala-Orange,Alachua,Orange,1,LW,Lake
Ala-Orange-2,29.4639,-82.1811,Ala-Orange,Alachua,Orange,2,LW,Lake
Ala-Orange-3,29.4404,-82.1649,Ala-Orange,Alachua,Orange,3,LW,Lake
Ala-Orange-4,29.4414,-82.196,Ala-Orange,Alachua,Orange,4,LW,Lake
Ala-Para-Br-1,29.9091,-82.5635,Ala-Para-Br,Alachua,Paraners Branch-1,1,LW,River/Stream
Ala-Para-Br-2,29.9099,-82.5593,Ala-Para-Br,Alachua,Paraners Branch-2,1,LW,River/Stream
Ala-Para-Br-3,29.9071,-82.5351,Ala-Para-Br,Alachua,Paraners Branch-3,1,LW,River/Stream
Ala-PotanoPds-1,29.6435,-82.2593,Ala-PotanoPds,Alachua,Potano Ponds,1,LW,Lake
Ala-PotanoPds-2,29.6433,-82.2597,Ala-PotanoPds,Alachua,Potano Ponds,2,LW,Lake
Ala-PotanoPds-3,29.6432,-82.2595,Ala-PotanoPds,Alachua,Potano Ponds,3,LW,Lake
Ala-SantaFe-1,29.7305,-82.0668,Ala-SantaFe,Alachua,Santa Fe,1,LW,Lake
Ala-SantaFe-2,29.7387,-82.0723,Ala-SantaFe,Alachua,Santa Fe,2,LW,Lake
Ala-SantaFe-3,29.7457,-82.0774,Ala-SantaFe,Alachua,Santa Fe,3,LW,Lake
