STATIONID,Latitude,Longitude,LAKEID,County,Lake,Station,Study,water type
Her-Lindsey-1,28.6307,-82.3661,Her-Lindsey,Hernando,Lindsey,1,LW,Lake
Her-Lindsey-2,28.6294,-82.366,Her-Lindsey,Hernando,Lindsey,2,LW,Lake
Her-Lindsey-3,28.6282,-82.366,Her-Lindsey,Hernando,Lindsey,3,LW,Lake
Her-MayPrair-1,28.6247,-82.3538,Her-MayPrair,Hernando,May Prairie,1,LW,Lake
Her-MayPrair-2,28.6229,-82.3541,Her-MayPrair,Hernando,May Prairie,2,LW,Lake
Her-MayPrair-3,28.6215,-82.3545,Her-MayPrair,Hernando,May Prairie,3,LW,Lake
Her-Mountain-1,28.4808,-82.3108,Her-Mountain,Hernando,Mountain,1,LW,Lake
Her-Mountain-2,28.4789,-82.3124,Her-Mountain,Hernando,Mountain,2,LW,Lake
Her-Mountain-3,28.4757,-82.3126,Her-Mountain,Hernando,Mountain,3,LW,Lake
Her-Neff-1,28.4833,-82.3255,Her-Neff,Hernando,Neff,1,LW,Lake
Her-Neff-2,28.4787,-82.326,Her-Neff,Hernando,Neff,2,LW,Lake
Her-Neff-3,28.4757,-82.3218,Her-Neff,Hernando,Neff,3,LW,Lake
Her-North-Rack-1,28.564917,-82.78085,Her-North-Rack,Hernando,North Rack-1,1,LW,Estuary
Her-Pine-Island-1,28.564917,-82.654267,Her-Pine-Island,Hernando,Pine Island-1,1,LW,Estuary
Her-Sparkm-1,28.465,-82.3652,Her-Sparkm,Hernando,Sparkman,1,LW,Lake
Her-Sparkm-2,28.4656,-82.3643,Her-Sparkm,Hernando,Sparkman,2,LW,Lake
Her-Sparkm-3,28.4663,-82.3634,Her-Sparkm,Hernando,Sparkman,3,LW,Lake
Her-Spring-1,28.492,-82.2965,Her-Spring,Hernando,Spring,1,LW,Lake
Her-Spring-2,28.493,-82.2951,Her-Spring,Hernando,Spring,2,LW,Lake
Her-Spring-3,28.4941,-82.2936,Her-Spring,Hernando,Spring,3,LW,Lake
Her-Weeki-Wac-1,28.5188,-82.5758,Her-Weeki-Wac,Hernando,Weeki Wachee-1,1,LW,River/Stream
Her-Weeki-Wac-2,28.5298,-82.607,Her-Weeki-Wac,Hernando,Weeki Wachee-2,1,LW,River/Stream
Her-Weeki-Wac-3,28.5344,-82.6361,Her-Weeki-Wac,Hernando,Weeki Wachee-3,1,LW,River/Stream
Hig-Adelaide-1,27.6436,-81.5313,Hig-Adelaide,Highlands,Adelaide,1,LW,Lake
Hig-Adelaide-2,27.6396,-81.5316,Hig-Adelaide,Highlands,Adelaide,2,LW,Lake
Hig-Adelaide-3,27.6377,-81.5324,Hig-Adelaide,Highlands,Adelaide,3,LW,Lake
Hig-Angelo-1,27.5874,-81.4655,Hig-Angelo,Highlands,Angelo,1,LW,Lake
Hig-Angelo-2,27.5864,-81.4665,Hig-Angelo,Highlands,Angelo,2,LW,Lake
Hig-Angelo-3,27.5854,-81.4678,Hig-Angelo,Highlands,Angelo,3,LW,Lake
Hig-Annie-1,27.2091,-81.3489,Hig-Annie,Highlands,Annie,1,LW,Lake
Hig-Annie-2,27.208,-81.3508,Hig-Annie,Highlands,Annie,2,LW,Lake
Hig-Annie-3,27.2056,-81.352,Hig-Annie,Highlands,Annie,3,LW,Lake
Hig-Anoka-1,27.5788,-81.5124,Hig-Anoka,Highlands,Anoka,1,LW,Lake
Hig-Anoka-2,27.5807,-81.512200000000007,Hig-Anoka,Highlands,Anoka,2,LW,Lake
Hig-Anoka-3,27.5823,-81.512200000000007,Hig-Anoka,Highlands,Anoka,3,LW,Lake
Hig-Apthorpe-1,27.3432,-81.3715,Hig-Apthorpe,Highlands,Apthorpe,1,LW,Lake
Hig-Apthorpe-2,27.3442,-81.3647,Hig-Apthorpe,Highlands,Apthorpe,2,LW,Lake
Hig-Apthorpe-3,27.3439,-81.3598,Hig-Apthorpe,Highlands,Apthorpe,3,LW,Lake
Hig-Ar-Creek-1,27.4462,-81.3021,Hig-Ar-Creek,Highlands,Arbuckle Creek-1,1,LW,River/Stream
Hig-Ar-Creek-2,27.53,-81.3628,Hig-Ar-Creek,Highlands,Arbuckle Creek-2,1,LW,River/Stream
Hig-Ar-Creek-3,27.6453,-81.3585,Hig-Ar-Creek,Highlands,Arbuckle Creek-3,1,LW,River/Stream
Hig-August-1,27.2746,-81.4153,Hig-August,Highlands,August,1,LW,Lake
Hig-August-2,27.2758,-81.4131,Hig-August,Highlands,August,2,LW,Lake
Hig-August-3,27.2764,-81.4117,Hig-August,Highlands,August,3,LW,Lake
Hig-Blue-1,27.3153,-81.3579,Hig-Blue,Highlands,Blue,1,LW,Lake
Hig-Blue-2,27.3146,-81.3569,Hig-Blue,Highlands,Blue,2,LW,Lake
Hig-Blue-3,27.3136,-81.3565,Hig-Blue,Highlands,Blue,3,LW,Lake
Hig-Bonnet-1,27.5438,-81.4486,Hig-Bonnet,Highlands,Bonnet,1,LW,Lake
Hig-Bonnet-2,27.544,-81.444,Hig-Bonnet,Highlands,Bonnet,2,LW,Lake
Hig-Bonnet-3,27.5436,-81.4373,Hig-Bonnet,Highlands,Bonnet,3,LW,Lake
Hig-Brentwood-1,27.623,-81.5125,Hig-Brentwood,Highlands,Brentwood,1,LW,Lake
Hig-Brentwood-2,27.6224,-81.5118,Hig-Brentwood,Highlands,Brentwood,2,LW,Lake
Hig-Brentwood-3,27.6211,-81.5118,Hig-Brentwood,Highlands,Brentwood,3,LW,Lake
Hig-Byrd-1,27.6198,-81.5171,Hig-Byrd,Highlands,Byrd,1,LW,Lake
Hig-Byrd-2,27.6214,-81.5167,Hig-Byrd,Highlands,Byrd,2,LW,Lake
Hig-Byrd-3,27.6236,-81.5182,Hig-Byrd,Highlands,Byrd,3,LW,Lake
Hig-Carrie-1,27.3375,-81.4293,Hig-Carrie,Highlands,Carrie,1,LW,Lake
Hig-Carrie-2,27.3375,-81.4275,Hig-Carrie,Highlands,Carrie,2,LW,Lake
Hig-Carrie-3,27.3377,-81.4256,Hig-Carrie,Highlands,Carrie,3,LW,Lake
Hig-Ca-Creek-1,27.2771,-81.3952,Hig-Ca-Creek,Highlands,Catfish Creek-1,1,LW,River/Stream
Hig-Ca-Creek-2,27.2743,-81.3918,Hig-Ca-Creek,Highlands,Catfish Creek-2,1,LW,River/Stream
Hig-Ca-Creek-3,27.2714,-81.3885,Hig-Ca-Creek,Highlands,Catfish Creek-3,1,LW,River/Stream
Hig-Charlotte-1,27.4356,-81.4506,Hig-Charlotte,Highlands,Charlotte,1,LW,Lake
Hig-Charlotte-2,27.4331,-81.448,Hig-Charlotte,Highlands,Charlotte,2,LW,Lake
Hig-Charlotte-3,27.43,-81.4501,Hig-Charlotte,Highlands,Charlotte,3,LW,Lake
Hig-Chilton-1,27.6321,-81.5551,Hig-Chilton,Highlands,Chilton,1,LW,Lake
Hig-Chilton-2,27.6318,-81.5566,Hig-Chilton,Highlands,Chilton,2,LW,Lake
Hig-Chilton-3,27.631,-81.558,Hig-Chilton,Highlands,Chilton,3,LW,Lake
Hig-Clay-1,27.3074,-81.3501,Hig-Clay,Highlands,Clay,1,LW,Lake
Hig-Clay-2,27.3108,-81.3507,Hig-Clay,Highlands,Clay,2,LW,Lake
Hig-Clay-3,27.3159,-81.3486,Hig-Clay,Highlands,Clay,3,LW,Lake
Hig-Crews-1,27.2983,-81.4365,Hig-Crews,Highlands,Crews,1,LW,Lake
Hig-Crews-2,27.2964,-81.4364,Hig-Crews,Highlands,Crews,2,LW,Lake
Hig-Crews-3,27.2946,-81.4366,Hig-Crews,Highlands,Crews,3,LW,Lake
Hig-Damon-1,27.637,-81.5082,Hig-Damon,Highlands,Damon,1,LW,Lake
Hig-Damon-2,27.6335,-81.5094,Hig-Damon,Highlands,Damon,2,LW,Lake
Hig-Damon-3,27.6331,-81.5142,Hig-Damon,Highlands,Damon,3,LW,Lake
Hig-Deer-1,27.6106,-81.4746,Hig-Deer,Highlands,Deer,1,LW,Lake
Hig-Deer-2,27.6093,-81.4745,Hig-Deer,Highlands,Deer,2,LW,Lake
Hig-Deer-3,27.6081,-81.4741,Hig-Deer,Highlands,Deer,3,LW,Lake
Hig-Denton-1,27.558,-81.4881,Hig-Denton,Highlands,Denton,1,LW,Lake
Hig-Denton-2,27.5561,-81.4892,Hig-Denton,Highlands,Denton,2,LW,Lake
Hig-Denton-3,27.5542,-81.4901,Hig-Denton,Highlands,Denton,3,LW,Lake
Hig-Diane-1,27.2418,-81.3973,Hig-Diane,Highlands,Diane,1,LW,Lake
Hig-Diane-2,27.2407,-81.3973,Hig-Diane,Highlands,Diane,2,LW,Lake
Hig-Diane-3,27.2394,-81.3974,Hig-Diane,Highlands,Diane,3,LW,Lake
Hig-Dinner-1,27.512,-81.439,Hig-Dinner,Highlands,Dinner,1,LW,Lake
Hig-Dinner-2,27.5154,-81.4441,Hig-Dinner,Highlands,Dinner,2,LW,Lake
Hig-Dinner-3,27.5187,-81.4482,Hig-Dinner,Highlands,Dinner,3,LW,Lake
Hig-EaglePon-1,27.6273,-81.5326,Hig-EaglePon,Highlands,Eagle Pond,1,LW,Lake
Hig-EaglePon-2,27.6268,-81.5322,Hig-EaglePon,Highlands,Eagle Pond,2,LW,Lake
Hig-EaglePon-3,27.6268,-81.5327,Hig-EaglePon,Highlands,Eagle Pond,3,LW,Lake
Hig-ErinPkC-1,27.4659,-81.4574,Hig-ErinPkC,Highlands,Erin Park Canals,1,LW,Lake
Hig-ErinPkC-2,27.4652,-81.4576,Hig-ErinPkC,Highlands,Erin Park Canals,2,LW,Lake
Hig-ErinPkC-3,27.4643,-81.4577,Hig-ErinPkC,Highlands,Erin Park Canals,3,LW,Lake
Hig-Fox-1,27.6078,-81.4681,Hig-Fox,Highlands,Fox,1,LW,Lake
Hig-Fox-2,27.608,-81.4671,Hig-Fox,Highlands,Fox,2,LW,Lake
Hig-Fox-3,27.6082,-81.4663,Hig-Fox,Highlands,Fox,3,LW,Lake
Hig-Francis-1,27.3436,-81.401,Hig-Francis,Highlands,Francis,1,LW,Lake
Hig-Francis-2,27.3425,-81.4092,Hig-Francis,Highlands,Francis,2,LW,Lake
Hig-Francis-3,27.337,-81.4082,Hig-Francis,Highlands,Francis,3,LW,Lake
Hig-Glenada-1,27.5646,-81.5106,Hig-Glenada,Highlands,Glenada,1,LW,Lake
Hig-Glenada-2,27.5648,-81.5078,Hig-Glenada,Highlands,Glenada,2,LW,Lake
Hig-Glenada-3,27.5632,-81.5014,Hig-Glenada,Highlands,Glenada,3,LW,Lake
Hig-Grassy-1,27.2653,-81.3339,Hig-Grassy,Highlands,Grassy,1,LW,Lake
Hig-Grassy-2,27.2566,-81.3341,Hig-Grassy,Highlands,Grassy,2,LW,Lake
Hig-Grassy-3,27.2424,-81.3295,Hig-Grassy,Highlands,Grassy,3,LW,Lake
Hig-Henry-1,27.3222,-81.3813,Hig-Henry,Highlands,Henry,1,LW,Lake
Hig-Henry-2,27.3233,-81.3834,Hig-Henry,Highlands,Henry,2,LW,Lake
Hig-Henry-3,27.3261,-81.3842,Hig-Henry,Highlands,Henry,3,LW,Lake
Hig-Hill-1,27.348,-81.4382,Hig-Hill,Highlands,Hill,1,LW,Lake
Hig-Hill-2,27.3498,-81.4384,Hig-Hill,Highlands,Hill,2,LW,Lake
Hig-Hill-3,27.3519,-81.4385,Hig-Hill,Highlands,Hill,3,LW,Lake
Hig-Huckleber-1,27.4508,-81.4655,Hig-Huckleber,Highlands,Huckleberry,1,LW,Lake
Hig-Huckleber-2,27.4515,-81.464,Hig-Huckleber,Highlands,Huckleberry,2,LW,Lake
Hig-Huckleber-3,27.4526,-81.4615,Hig-Huckleber,Highlands,Huckleberry,3,LW,Lake
Hig-Huntley-1,27.2942,-81.3422,Hig-Huntley,Highlands,Huntley,1,LW,Lake
Hig-Huntley-2,27.2869,-81.3422,Hig-Huntley,Highlands,Huntley,2,LW,Lake
Hig-Huntley-3,27.2809,-81.3398,Hig-Huntley,Highlands,Huntley,3,LW,Lake
Hig-Isis-1,27.6123,-81.5118,Hig-Isis,Highlands,Isis,1,LW,Lake
Hig-Isis-2,27.6122,-81.5106,Hig-Isis,Highlands,Isis,2,LW,Lake
Hig-Isis-3,27.6123,-81.5089,Hig-Isis,Highlands,Isis,3,LW,Lake
Hig-Istokpoga-1,27.3428,-81.3073,Hig-Istokpoga,Highlands,Istokpoga,1,LW,Lake
Hig-Istokpoga-2,27.3402,-81.27,Hig-Istokpoga,Highlands,Istokpoga,2,LW,Lake
Hig-Istokpoga-3,27.3142,-81.2977,Hig-Istokpoga,Highlands,Istokpoga,3,LW,Lake
Hig-IstokpogN-1,27.401,-81.3332,Hig-IstokpogN,Highlands,Istokpoga North,1,LW,Lake
Hig-IstokpogN-2,27.4173,-81.3108,Hig-IstokpogN,Highlands,Istokpoga North,2,LW,Lake
Hig-IstokpogN-3,27.421,-81.285,Hig-IstokpogN,Highlands,Istokpoga North,3,LW,Lake
Hig-Jackson-1,27.482,-81.4598,Hig-Jackson,Highlands,Jackson,1,LW,Lake
Hig-Jackson-2,27.495,-81.4619,Hig-Jackson,Highlands,Jackson,2,LW,Lake
Hig-Jackson-3,27.508,-81.4772,Hig-Jackson,Highlands,Jackson,3,LW,Lake
Hig-Jackson-4,27.5081,-81.4775,Hig-Jackson,Highlands,Jackson,4,LW,Lake
Hig-JosephinC-1,27.3962,-81.4424,Hig-JosephinC,Highlands,Josephine Center,1,LW,Lake
Hig-JosephinC-2,27.3937,-81.446,Hig-JosephinC,Highlands,Josephine Center,2,LW,Lake
Hig-JosephinC-3,27.3904,-81.439,Hig-JosephinC,Highlands,Josephine Center,3,LW,Lake
Hig-JosephinE-1,27.401,-81.4229,Hig-JosephinE,Highlands,Josephine East,1,LW,Lake
Hig-JosephinE-2,27.3937,-81.4243,Hig-JosephinE,Highlands,Josephine East,2,LW,Lake
Hig-JosephinE-3,27.3882,-81.4312,Hig-JosephinE,Highlands,Josephine East,3,LW,Lake
Hig-JosephinW-1,27.4069,-81.4535,Hig-JosephinW,Highlands,Josephine West,1,LW,Lake
Hig-JosephinW-2,27.4024,-81.4517,Hig-JosephinW,Highlands,Josephine West,2,LW,Lake
Hig-JosephinW-3,27.3992,-81.449,Hig-JosephinW,Highlands,Josephine West,3,LW,Lake
Hig-June-1,27.2952,-81.4164,Hig-June,Highlands,June,1,LW,Lake
Hig-June-2,27.2833,-81.3984,Hig-June,Highlands,June,2,LW,Lake
Hig-June-3,27.2822,-81.3905,Hig-June,Highlands,June,3,LW,Lake
Hig-JuneN-1,27.3109,-81.3709,Hig-JuneN,Highlands,June North,1,LW,Lake
Hig-JuneN-2,27.3169,-81.3979,Hig-JuneN,Highlands,June North,2,LW,Lake
Hig-JuneN-3,27.3193,-81.4199,Hig-JuneN,Highlands,June North,3,LW,Lake
Hig-KisRivLor-1,27.3627,-81.0441,Hig-KisRivLor,Highlands,Kissimmee River Lorida-1,1,LW,River/Stream
Hig-KisRivLor-2,27.3617,-81.0376,Hig-KisRivLor,Highlands,Kissimmee River Lorida-2,1,LW,River/Stream
Hig-KisRivLor-3,27.3589,-81.0347,Hig-KisRivLor,Highlands,Kissimmee River Lorida-3,1,LW,River/Stream
Hig-KisRivLor-4,27.3542,-81.0331,Hig-KisRivLor,Highlands,Kissimmee River Lorida-4,1,LW,River/Stream
Hig-Lelia-1,27.5737,-81.5014,Hig-Lelia,Highlands,Lelia,1,LW,Lake
Hig-Lelia-2,27.5734,-81.5042,Hig-Lelia,Highlands,Lelia,2,LW,Lake
Hig-Lelia-3,27.5733,-81.5091,Hig-Lelia,Highlands,Lelia,3,LW,Lake
Hig-Letta-1,27.5658,-81.4616,Hig-Letta,Highlands,Letta,1,LW,Lake
Hig-Letta-2,27.5616,-81.461,Hig-Letta,Highlands,Letta,2,LW,Lake
Hig-Letta-3,27.5571,-81.4607,Hig-Letta,Highlands,Letta,3,LW,Lake
Hig-Lillian-1,27.6315,-81.5186,Hig-Lillian,Highlands,Lillian,1,LW,Lake
Hig-Lillian-2,27.6305,-81.5208,Hig-Lillian,Highlands,Lillian,2,LW,Lake
Hig-Lillian-3,27.6322,-81.5201,Hig-Lillian,Highlands,Lillian,3,LW,Lake
Hig-LittleBo-1,27.5616,-81.4758,Hig-LittleBo,Highlands,Little Bonnet,1,LW,Lake
Hig-LittleBo-2,27.5591,-81.4761,Hig-LittleBo,Highlands,Little Bonnet,2,LW,Lake
Hig-LittleBo-3,27.5627,-81.477,Hig-LittleBo,Highlands,Little Bonnet,3,LW,Lake
Hig-LittleGr-1,27.2519,-81.3417,Hig-LittleGr,Highlands,Little Grassy,1,LW,Lake
Hig-LittleJa-1,27.4693,-81.4652,Hig-LittleJa,Highlands,Little Jackson,1,LW,Lake
Hig-LittleJa-2,27.4686,-81.4603,Hig-LittleJa,Highlands,Little Jackson,2,LW,Lake
Hig-LittleJa-3,27.4658,-81.4627,Hig-LittleJa,Highlands,Little Jackson,3,LW,Lake
Hig-LittleRe-1,27.5458,-81.4791,Hig-LittleRe,Highlands,Little Redwater,1,LW,Lake
Hig-LittleRe-2,27.5395,-81.4698,Hig-LittleRe,Highlands,Little Redwater,2,LW,Lake
Hig-LittleRe-3,27.5381,-81.4642,Hig-LittleRe,Highlands,Little Redwater,3,LW,Lake
Hig-LittleRe2-1,27.3498,-81.3912,Hig-LittleRe2,Highlands,Little Redwater 2,1,LW,Lake
Hig-LittleRe2-2,27.3489,-81.3909,Hig-LittleRe2,Highlands,Little Redwater 2,2,LW,Lake
Hig-LittleRe2-3,27.3478,-81.3909,Hig-LittleRe2,Highlands,Little Redwater 2,3,LW,Lake
Hig-Lotela-1,27.5714,-81.4812,Hig-Lotela,Highlands,Lotela,1,LW,Lake
Hig-Lotela-2,27.5772,-81.4811,Hig-Lotela,Highlands,Lotela,2,LW,Lake
Hig-Lotela-3,27.5818,-81.4811,Hig-Lotela,Highlands,Lotela,3,LW,Lake
Hig-Lynn-1,27.3957,-81.3973,Hig-Lynn,Highlands,Lynn,1,LW,Lake
Hig-Lynn-2,27.3954,-81.3966,Hig-Lynn,Highlands,Lynn,2,LW,Lake
Hig-Lynn-3,27.3947,-81.3964,Hig-Lynn,Highlands,Lynn,3,LW,Lake
Hig-Mary Jane-1,27.5429,-81.5026,Hig-Mary Jane,Highlands,Mary Jane,1,LW,Lake
Hig-Mary Jane-2,27.5432,-81.5002,Hig-Mary Jane,Highlands,Mary Jane,2,LW,Lake
Hig-Mary Jane-3,27.5425,-81.4981,Hig-Mary Jane,Highlands,Mary Jane,3,LW,Lake
Hig-McCoy-1,27.2828,-81.3537,Hig-McCoy,Highlands,McCoy,1,LW,Lake
Hig-McCoy-2,27.284300000000002,-81.3541,Hig-McCoy,Highlands,McCoy,2,LW,Lake
Hig-McCoy-3,27.2856,-81.3544,Hig-McCoy,Highlands,McCoy,3,LW,Lake
Hig-Million-1,27.4277,-81.4915,Hig-Million,Highlands,Million,1,LW,Lake
Hig-Million-2,27.4276,-81.4915,Hig-Million,Highlands,Million,2,LW,Lake
Hig-MillsPond-1,27.4848,-81.5102,Hig-MillsPond,Highlands,Mills Pond,1,LW,Lake
Hig-MillsPond-2,27.4849,-81.511,Hig-MillsPond,Highlands,Mills Pond,2,LW,Lake
Hig-MillsPond-3,27.4848,-81.5114,Hig-MillsPond,Highlands,Mills Pond,3,LW,Lake
Hig-Mirror-1,27.2775,-81.3582,Hig-Mirror,Highlands,Mirror,1,LW,Lake
Hig-Mirror-2,27.2759,-81.3603,Hig-Mirror,Highlands,Mirror,2,LW,Lake
Hig-Mirror-3,27.2739,-81.3629,Hig-Mirror,Highlands,Mirror,3,LW,Lake
Hig-Olivia-1,27.6316,-81.5491,Hig-Olivia,Highlands,Olivia,1,LW,Lake
Hig-Olivia-2,27.6323,-81.5474,Hig-Olivia,Highlands,Olivia,2,LW,Lake
Hig-Olivia-3,27.6339,-81.5454,Hig-Olivia,Highlands,Olivia,3,LW,Lake
Hig-Pearl-1,27.2853,-81.362,Hig-Pearl,Highlands,Pearl,1,LW,Lake
Hig-Pearl-2,27.2836,-81.3613,Hig-Pearl,Highlands,Pearl,2,LW,Lake
Hig-Pearl-3,27.282,-81.3603,Hig-Pearl,Highlands,Pearl,3,LW,Lake
Hig-Persimmon-1,27.3538,-81.4051,Hig-Persimmon,Highlands,Persimmon,1,LW,Lake
Hig-Persimmon-2,27.355,-81.4068,Hig-Persimmon,Highlands,Persimmon,2,LW,Lake
Hig-Persimmon-3,27.3561,-81.4049,Hig-Persimmon,Highlands,Persimmon,3,LW,Lake
Hig-Pioneer-1,27.6247,-81.4941,Hig-Pioneer,Highlands,Pioneer,1,LW,Lake
Hig-Pioneer-2,27.6226,-81.4944,Hig-Pioneer,Highlands,Pioneer,2,LW,Lake
Hig-Pioneer-3,27.6217,-81.4943,Hig-Pioneer,Highlands,Pioneer,3,LW,Lake
Hig-Placid-1,27.2298,-81.3702,Hig-Placid,Highlands,Placid,1,LW,Lake
Hig-Placid-2,27.2348,-81.3527,Hig-Placid,Highlands,Placid,2,LW,Lake
Hig-Placid-3,27.2647,-81.3582,Hig-Placid,Highlands,Placid,3,LW,Lake
Hig-Placid-4,27.2253,-81.3507,Hig-Placid,Highlands,Placid,4,LW,Lake
Hig-Pythias-1,27.6387,-81.4964,Hig-Pythias,Highlands,Pythias,1,LW,Lake
Hig-Pythias-2,27.635,-81.497,Hig-Pythias,Highlands,Pythias,2,LW,Lake
Hig-Pythias-3,27.6316,-81.4978,Hig-Pythias,Highlands,Pythias,3,LW,Lake
Hig-Rachard-1,27.3031,-81.3692,Hig-Rachard,Highlands,Rachard,1,LW,Lake
Hig-Rachard-2,27.3041,-81.3692,Hig-Rachard,Highlands,Rachard,2,LW,Lake
Hig-Rachard-3,27.305,-81.3688,Hig-Rachard,Highlands,Rachard,3,LW,Lake
Hig-RedBeach-1,27.4297,-81.4088,Hig-RedBeach,Highlands,Red Beach,1,LW,Lake
Hig-RedBeach-2,27.4326,-81.403,Hig-RedBeach,Highlands,Red Beach,2,LW,Lake
Hig-RedBeach-3,27.4357,-81.3997,Hig-RedBeach,Highlands,Red Beach,3,LW,Lake
Hig-Redwater-1,27.3487,-81.396,Hig-Redwater,Highlands,Redwater,1,LW,Lake
Hig-Redwater-2,27.3467,-81.3951,Hig-Redwater,Highlands,Redwater,2,LW,Lake
Hig-Redwater-3,27.3449,-81.3941,Hig-Redwater,Highlands,Redwater,3,LW,Lake
Hig-Saddlebag-1,27.2932,-81.3537,Hig-Saddlebag,Highlands,Saddlebags,1,LW,Lake
Hig-Saddlebag-2,27.2942,-81.3542,Hig-Saddlebag,Highlands,Saddlebags,2,LW,Lake
Hig-Saddlebag-3,27.2954,-81.3546,Hig-Saddlebag,Highlands,Saddlebags,3,LW,Lake
Hig-Sebring-1,27.522,-81.4843,Hig-Sebring,Highlands,Sebring,1,LW,Lake
Hig-Sebring-2,27.528,-81.4844,Hig-Sebring,Highlands,Sebring,2,LW,Lake
Hig-Sebring-3,27.5332,-81.4862,Hig-Sebring,Highlands,Sebring,3,LW,Lake
Hig-Sirena-1,27.2882,-81.37,Hig-Sirena,Highlands,Sirena,1,LW,Lake
Hig-Sirena-2,27.2849,-81.3693,Hig-Sirena,Highlands,Sirena,2,LW,Lake
Hig-Sirena-3,27.2815,-81.3679,Hig-Sirena,Highlands,Sirena,3,LW,Lake
Hig-Trout-1,27.6473,-81.5088,Hig-Trout,Highlands,Trout,1,LW,Lake
Hig-Trout-2,27.6466,-81.5067,Hig-Trout,Highlands,Trout,2,LW,Lake
Hig-Trout-3,27.646,-81.5046,Hig-Trout,Highlands,Trout,3,LW,Lake
Hig-Tulane-1,27.5846,-81.5037,Hig-Tulane,Highlands,Tulane,1,LW,Lake
Hig-Tulane-2,27.5863,-81.504,Hig-Tulane,Highlands,Tulane,2,LW,Lake
Hig-Tulane-3,27.5883,-81.5042,Hig-Tulane,Highlands,Tulane,3,LW,Lake
Hig-Verona-1,27.5993,-81.4971,Hig-Verona,Highlands,Verona,1,LW,Lake
Hig-Verona-2,27.5978,-81.497,Hig-Verona,Highlands,Verona,2,LW,Lake
Hig-Verona-3,27.5964,-81.497,Hig-Verona,Highlands,Verona,3,LW,Lake
Hig-Viola-1,27.6149,-81.4944,Hig-Viola,Highlands,Viola,1,LW,Lake
Hig-Viola-2,27.6132,-81.495,Hig-Viola,Highlands,Viola,2,LW,Lake
Hig-Viola-3,27.6119,-81.4958,Hig-Viola,Highlands,Viola,3,LW,Lake
Hig-Wolf-1,27.4214,-81.4715,Hig-Wolf,Highlands,Wolf,1,LW,Lake
Hig-Wolf-2,27.4222,-81.4745,Hig-Wolf,Highlands,Wolf,2,LW,Lake
Hig-Wolf-3,27.4231,-81.4764,Hig-Wolf,Highlands,Wolf,3,LW,Lake
Hil-Aliver201-1-1,27.8593,-82.3842,Hil-Aliver201-1,Hillsborough,Alafia River-201-1,1,LW,River/Stream
Hil-Aliver201-2-1,27.8593,-82.3842,Hil-Aliver201-2,Hillsborough,Alafia River-201-2,1,LW,River/Stream
Hil-Aliver201-3-1,27.8593,-82.3842,Hil-Aliver201-3,Hillsborough,Alafia River-201-3,1,LW,River/Stream
Hil-Aliver202-1-1,27.8691,-82.3256,Hil-Aliver202-1,Hillsborough,Alafia River-202-1,1,LW,River/Stream
Hil-Aliver202-2-1,27.8691,-82.3256,Hil-Aliver202-2,Hillsborough,Alafia River-202-2,1,LW,River/Stream
Hil-Aliver202-3-1,27.8691,-82.3256,Hil-Aliver202-3,Hillsborough,Alafia River-202-3,1,LW,River/Stream
Hil-Aliver203-1-1,27.8669,-82.3195,Hil-Aliver203-1,Hillsborough,Alafia River-203-1,1,LW,River/Stream
Hil-Aliver203-2-1,27.8669,-82.3195,Hil-Aliver203-2,Hillsborough,Alafia River-203-2,1,LW,River/Stream
Hil-Aliver203-3-1,27.8669,-82.3195,Hil-Aliver203-3,Hillsborough,Alafia River-203-3,1,LW,River/Stream
Hil-Aliver204-1-1,27.8619,-82.2648,Hil-Aliver204-1,Hillsborough,Alafia River-204-1,1,LW,River/Stream
Hil-Aliver204-2-1,27.8619,-82.2648,Hil-Aliver204-2,Hillsborough,Alafia River-204-2,1,LW,River/Stream
Hil-Aliver204-3-1,27.8619,-82.2648,Hil-Aliver204-3,Hillsborough,Alafia River-204-3,1,LW,River/Stream
Hil-Aliver208-1-1,27.8676,-82.2278,Hil-Aliver208-1,Hillsborough,Alafia River-208-1,1,LW,River/Stream
Hil-Aliver208-2-1,27.8676,-82.2278,Hil-Aliver208-2,Hillsborough,Alafia River-208-2,1,LW,River/Stream
Hil-Aliver208-3-1,27.8676,-82.2278,Hil-Aliver208-3,Hillsborough,Alafia River-208-3,1,LW,River/Stream
Hil-Aliver209-1-1,27.8713,-82.2183,Hil-Aliver209-1,Hillsborough,Alafia River-209-1,1,LW,River/Stream
Hil-Aliver209-2-1,27.8713,-82.2183,Hil-Aliver209-2,Hillsborough,Alafia River-209-2,1,LW,River/Stream
Hil-Aliver209-3-1,27.8713,-82.2183,Hil-Aliver209-3,Hillsborough,Alafia River-209-3,1,LW,River/Stream
Hil-Aliver210-1-1,27.8741,-82.1703,Hil-Aliver210-1,Hillsborough,Alafia River-210-1,1,LW,River/Stream
Hil-Aliver210-2-1,27.8741,-82.1703,Hil-Aliver210-2,Hillsborough,Alafia River-210-2,1,LW,River/Stream
Hil-Aliver210-3-1,27.8741,-82.1703,Hil-Aliver210-3,Hillsborough,Alafia River-210-3,1,LW,River/Stream
Hil-Aliver214-1-1,27.8573,-82.2691,Hil-Aliver214-1,Hillsborough,Alafia River-214-1,1,LW,River/Stream
Hil-Aliver214-2-1,27.8573,-82.2691,Hil-Aliver214-2,Hillsborough,Alafia River-214-2,1,LW,River/Stream
